epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,3698.72,1.27009,1.01751,1.25516,0.69863,0.72925,0.71041,0.39511,1.57861,1.13997,1.48645,0.000352037,0.000352037,0.000352037
92,3738.92,1.27758,1.02879,1.26051,0.69236,0.73401,0.71253,0.3879,1.60631,1.23391,1.51653,0.000342211,0.000342211,0.000342211
93,3779.14,1.27528,1.03933,1.2718,0.67444,0.70937,0.70609,0.40058,1.56008,1.21348,1.47715,0.000332457,0.000332457,0.000332457
94,3818.29,1.26279,1.02005,1.26519,0.70359,0.71605,0.71683,0.39388,1.59056,1.19583,1.51199,0.000322778,0.000322778,0.000322778
95,3861.23,1.26235,1.01088,1.25877,0.67365,0.75789,0.71497,0.39799,1.55299,1.15234,1.4869,0.00031318,0.00031318,0.00031318
96,3902.53,1.26639,0.99682,1.256,0.71151,0.73649,0.72392,0.40535,1.54357,1.11113,1.4607,0.000303665,0.000303665,0.000303665
97,3944.78,1.25298,0.99974,1.25002,0.69943,0.72374,0.7204,0.40217,1.55276,1.23005,1.46174,0.000294239,0.000294239,0.000294239
98,3984.9,1.27008,1.0064,1.25515,0.68843,0.72404,0.71622,0.39799,1.56891,1.22353,1.47572,0.000284906,0.000284906,0.000284906
99,4024.64,1.23609,0.97655,1.24398,0.68713,0.73806,0.7214,0.4092,1.5704,1.20325,1.47804,0.000275668,0.000275668,0.000275668
100,4064.34,1.23168,0.99083,1.24444,0.66772,0.73412,0.70724,0.39002,1.57602,1.19181,1.50644,0.000266532,0.000266532,0.000266532
101,4104.28,1.23781,1.00273,1.24441,0.67403,0.7355,0.71459,0.39711,1.55789,1.2185,1.47218,0.0002575,0.0002575,0.0002575
102,4145.71,1.2306,0.96337,1.23874,0.67661,0.73493,0.70119,0.39489,1.56392,1.23268,1.48783,0.000248577,0.000248577,0.000248577
103,4187.6,1.22121,0.95652,1.2323,0.67978,0.74424,0.70701,0.3961,1.58642,1.17521,1.50836,0.000239766,0.000239766,0.000239766
104,4228.23,1.24411,0.96804,1.24472,0.70658,0.74004,0.72452,0.40146,1.54869,1.15884,1.46773,0.000231071,0.000231071,0.000231071
105,4269.09,1.22682,0.95876,1.2405,0.67717,0.71126,0.69582,0.38602,1.58516,1.27365,1.49118,0.000222497,0.000222497,0.000222497
106,4308.48,1.21499,0.95004,1.22463,0.66009,0.74941,0.71544,0.39855,1.56931,1.22863,1.48045,0.000214046,0.000214046,0.000214046
107,4348.02,1.20858,0.94756,1.2302,0.69049,0.73622,0.7261,0.40468,1.55033,1.15457,1.46964,0.000205723,0.000205723,0.000205723
108,4387.59,1.21012,0.95098,1.22875,0.70104,0.69204,0.7028,0.39528,1.54452,1.24706,1.48427,0.000197532,0.000197532,0.000197532
109,4427.61,1.19627,0.92576,1.21812,0.74058,0.69972,0.72228,0.40574,1.5478,1.16383,1.47362,0.000189475,0.000189475,0.000189475
110,4466.97,1.20931,0.94039,1.22526,0.70403,0.71776,0.70811,0.39548,1.54586,1.17338,1.48063,0.000181557,0.000181557,0.000181557
111,4506.4,1.18487,0.90759,1.21451,0.70745,0.68186,0.70318,0.39195,1.56071,1.26952,1.48312,0.00017378,0.00017378,0.00017378
112,4546.16,1.20579,0.95236,1.23337,0.73193,0.70052,0.72393,0.40471,1.54534,1.17012,1.47335,0.000166149,0.000166149,0.000166149
113,4585.76,1.20119,0.94234,1.21993,0.69989,0.73366,0.72455,0.40395,1.54156,1.14561,1.47572,0.000158667,0.000158667,0.000158667
114,4625.81,1.18573,0.90812,1.20625,0.68602,0.72691,0.71222,0.40364,1.5503,1.19626,1.47466,0.000151336,0.000151336,0.000151336
